Month,Open,High,Low,Settle,Chg,Vol,EFP,EFS,Block,Prev Day Vol,Prev Day Open
Oct12,96.5,97.72,94.43,95.47,-0.68,"43,166",0,0,456,"42,689","60,878"
Nov12,97,97.94,94.75,95.79,-0.66,"11,629",0,40,70,"13,466","44,235"
Dec12,97.33,98.27,95.12,96.16,-0.63,"15,825",0,40,210,"16,598","96,031"
Jan13,98.5,98.5,95.63,96.59,-0.61,"3,451",0,0,0,"3,690","23,680"
Feb13,98.14,98.56,95.99,96.91,-0.58,"1,289",0,0,0,"1,911","14,401"
Mar13,98.66,98.66,96.29,97.07,-0.56,"1,489",0,0,15,"3,057","15,502"
Apr13,98.54,98.54,96.26,97.03,-0.55,508,0,0,0,"1,330","5,378"
May13,98.35,98.35,96.67,96.88,-0.53,501,0,0,0,"1,002","6,153"
Jun13,98.39,98.39,95.97,96.65,-0.52,"2,988",0,708,136,"4,104","34,571"
Jul13,,,,96.38,-0.5,189,0,0,0,818,"2,789"
Aug13,,,,96.08,-0.47,95,0,0,0,559,"3,716"
Sep13,,,,95.78,-0.43,80,0,0,0,482,"7,970"
Oct13,,,,95.48,-0.4,172,0,0,0,331,"2,238"
Nov13,,,,95.19,-0.38,169,0,0,0,515,"3,893"
Dec13,94,94.83,94,94.91,-0.34,"5,391",0,0,857,"5,571","69,730"
Jan14,,,,94.5,-0.32,14,0,0,0,4,"3,313"
Feb14,,,,94.15,-0.29,7,0,0,0,2,819
Mar14,,,,93.79,-0.26,0,0,0,0,2,"2,175"
Apr14,,,,93.44,-0.22,0,0,0,0,2,"1,183"
May14,,,,93.11,-0.18,0,0,0,0,0,"1,100"
Jun14,,,,92.78,-0.16,1,0,0,0,100,"5,929"
Jul14,,,,92.39,-0.14,0,0,0,0,0,900
Aug14,,,,92.05,-0.12,0,0,0,0,0,"1,100"
Sep14,,,,91.75,-0.11,0,0,0,0,0,"2,300"
Oct14,,,,91.48,-0.09,0,0,0,0,0,800
Nov14,,,,91.25,-0.06,0,0,0,0,0,"1,200"
Dec14,,,,91.06,-0.03,698,0,0,0,347,"32,701"
Jan15,,,,90.73,-0.02,0,0,0,0,0,0
Feb15,,,,90.41,0,0,0,0,0,0,0
Mar15,,,,90.09,0.02,0,0,0,0,0,0
Apr15,,,,89.8,0.04,0,0,0,0,0,0
May15,,,,89.52,0.07,0,0,0,0,0,0
Jun15,,,,89.28,0.11,0,0,0,0,0,400
Jul15,,,,89.04,0.13,0,0,0,0,0,0
Aug15,,,,88.81,0.16,0,0,0,0,0,0
Sep15,,,,88.61,0.18,0,0,0,0,0,0
Oct15,,,,88.41,0.2,0,0,0,0,0,0
Nov15,,,,88.22,0.22,0,0,0,0,0,0
Dec15,,,,88.04,0.24,43,0,0,0,42,"13,966"
Jan16,,,,87.84,0.25,0,0,0,0,0,0
Feb16,,,,87.65,0.26,0,0,0,0,0,0
Mar16,,,,87.46,0.27,0,0,0,0,0,0
Apr16,,,,87.29,0.28,0,0,0,0,0,0
May16,,,,87.13,0.29,0,0,0,0,0,0
Jun16,,,,86.98,0.31,0,0,0,0,0,200
Jul16,,,,86.83,0.33,0,0,0,0,0,0
Aug16,,,,86.68,0.34,0,0,0,0,0,0
Sep16,,,,86.53,0.35,0,0,0,0,0,0
Oct16,,,,86.39,0.36,0,0,0,0,0,0
Nov16,,,,86.25,0.37,0,0,0,0,0,0
Dec16,,,,86.12,0.38,8,0,0,0,0,"8,033"
Jan17,,,,86.04,0.38,0,0,0,0,0,0
Feb17,,,,85.97,0.39,0,0,0,0,0,0
Mar17,,,,85.9,0.4,0,0,0,0,0,0
Apr17,,,,85.83,0.4,0,0,0,0,0,0
May17,,,,85.77,0.41,0,0,0,0,0,0
Jun17,,,,85.71,0.42,0,0,0,0,0,0
Jul17,,,,85.65,0.42,0,0,0,0,0,0
Aug17,,,,85.6,0.43,0,0,0,0,0,0
Sep17,,,,85.55,0.44,0,0,0,0,0,0
Oct17,,,,85.5,0.45,0,0,0,0,0,0
Nov17,,,,85.45,0.46,0,0,0,0,0,0
Dec17,,,,85.4,0.46,6,0,0,0,5,"8,747"
Jun18,,,,85.29,0.46,0,0,0,0,0,0
Dec18,,,,85.18,0.46,0,0,0,0,0,"2,264"
Jun19,,,,85.12,0.46,0,0,0,0,0,0
Dec19,,,,85.06,0.46,0,0,0,0,0,11
Jun20,,,,85.03,0.46,0,0,0,0,0,0
Dec20,,,,85,0.46,0,0,0,0,0,9
